"species","yearcollected","decimalLongitude","decimalLatitude"
"Gadus morhua",2010,-61.20175,47.45242
"Gadus morhua",2014,-62.04775,47.908
"Gadus morhua",2011,-62.96575,47.64175
"Gadus morhua",2011,-60.19934,47.33042
"Gadus morhua",2014,-60.3625,47.39175
"Gadus morhua",2014,-63.46,47.11192
"Gadus morhua",2014,-60.92842,47.40959
"Gadus morhua",2011,-64.47817,47.13359
"Gadus morhua",2014,-62.83075,48.15784
"Gadus morhua",2013,-61.8175,46.37884
"Gadus morhua",2012,-61.007,46.92425
"Gadus morhua",2013,-64.15159,48.26325
"Gadus morhua",2010,-61.89817,47.77575
"Gadus morhua",2010,-60.893,47.77167
"Gadus morhua",2012,-63.26825,47.81917
"Gadus morhua",2013,-60.80959,47.87859
"Gadus morhua",2012,-61.69892,45.81992
"Gadus morhua",2012,-61.53417,46.37442
"Gadus morhua",2011,-61.83492,46.79567
"Gadus morhua",2013,-61.67458,46.5595
"Gadus morhua",2010,-61.53917,46.90467
"Gadus morhua",2013,-63.8085,47.48583
"Gadus morhua",2012,-60.81925,47.60042
"Gadus morhua",2014,-64.108,47.81767
"Gadus morhua",2012,-62.72917,47.15067
"Gadus morhua",2011,-63.3975,46.88759
"Gadus morhua",2013,-63.67467,47.07517
"Gadus morhua",2012,-62.77492,47.22342
"Gadus morhua",2013,-62.25158,47.224
"Gadus morhua",2014,-61.69267,45.81067
"Gadus morhua",2011,-60.69184,47.27875
"Gadus morhua",2011,-61.27125,46.89842
"Gadus morhua",2010,-61.11833,47.02
"Gadus morhua",2013,-63.91225,47.61817
"Gadus morhua",2013,-62.42809,48.427
"Gadus morhua",2013,-62.48842,45.94633
"Gadus morhua",2014,-65.07442,47.93892
"Gadus morhua",2013,-62.17134,46.68533
"Gadus morhua",2011,-63.3715,48.61208
"Gadus morhua",2011,-61.98925,46.68484
"Gadus morhua",2013,-62.56742,48.352
"Gadus morhua",2010,-63.44883,46.62892
"Gadus morhua",2010,-61.63,46.05384
"Gadus morhua",2014,-65.88317,47.98225
"Gadus morhua",2014,-63.29992,48.381
"Gadus morhua",2013,-62.63142,48.10259
"Gadus morhua",2010,-64.38442,47.77375
"Gadus morhua",2013,-63.50725,48.65242
"Gadus morhua",2013,-62.64317,46.82034
"Gadus morhua",2013,-62.46959,47.09192
"Gadus morhua",2012,-61.61033,46.26325
"Gadus morhua",2012,-63.32775,48.01958
"Gadus morhua",2010,-65.47125,47.72925
"Gadus morhua",2010,-62.8435,48.399
"Gadus morhua",2010,-60.22434,47.30017
"Gadus morhua",2011,-63.93817,47.84175
"Gadus morhua",2011,-63.7575,48.02784
"Gadus morhua",2011,-63.40442,48.39442
"Gadus morhua",2013,-63.98159,48.01042
"Gadus morhua",2010,-62.86817,46.60975
"Gadus morhua",2010,-61.69267,46.56983
"Gadus morhua",2014,-63.23759,46.77642
"Gadus morhua",2014,-61.95458,46.64667
"Gadus morhua",2011,-60.53492,47.62309
"Gadus morhua",2011,-62.11317,47.93234
"Gadus morhua",2010,-65.10775,47.86058
"Gadus morhua",2012,-63.25558,47.03125
"Gadus morhua",2014,-63.45283,47.93608
"Gadus morhua",2014,-61.53792,47.08584
"Gadus morhua",2011,-63.09017,48.38292
"Gadus morhua",2010,-62.80134,46.72817
"Gadus morhua",2011,-64.51458,48.16642
"Gadus morhua",2013,-62.59292,47.06442
"Gadus morhua",2013,-64.43434,47.626
"Gadus morhua",2010,-60.58759,47.67517
"Gadus morhua",2012,-62.07825,48.01117
"Gadus morhua",2014,-62.1485,48.21267
"Gadus morhua",2014,-65.36983,47.80875
"Gadus morhua",2014,-60.99175,47.85859
"Gadus morhua",2013,-60.673,47.19275
"Gadus morhua",2013,-64.16742,48.14
"Gadus morhua",2010,-63.05825,47.76234
"Gadus morhua",2012,-63.832,47.44433
"Gadus morhua",2012,-64.03458,47.14734
"Gadus morhua",2010,-63.36192,46.06608
"Gadus morhua",2010,-63.58259,45.94
"Gadus morhua",2014,-62.58817,46.57017
"Gadus morhua",2012,-63.71833,48.2395
"Gadus morhua",2012,-63.97117,48.50492
"Gadus morhua",2012,-63.34909,48.281
"Gadus morhua",2012,-63.75392,47.0855
"Gadus morhua",2012,-60.90809,47.82592
"Gadus morhua",2013,-60.95084,46.89117
"Gadus morhua",2010,-63.94242,48.00625
"Gadus morhua",2014,-63.68892,48.05217
"Gadus morhua",2014,-64.5525,48.13917
"Gadus morhua",2011,-62.33534,46.58034
"Gadus morhua",2011,-63.223,45.86967
"Gadus morhua",2011,-61.88967,47.5865
"Gadus morhua",2011,-62.63467,48.296
"Gadus morhua",2010,-62.0405,46.103
"Gadus morhua",2010,-64.84325,47.98175
"Gadus morhua",2012,-65.431,47.89692
"Gadus morhua",2014,-64.33875,47.953
"Gadus morhua",2012,-60.56234,47.42183
"Gadus morhua",2012,-60.48934,47.40109
"Gadus morhua",2012,-60.80567,47.87467
"Gadus morhua",2010,-63.9385,48.33317
"Gadus morhua",2012,-64.8925,47.93234
"Gadus morhua",2014,-63.75225,47.00475
"Gadus morhua",2010,-61.502,47.04692
"Gadus morhua",2014,-63.6905,48.46075
"Gadus morhua",2012,-60.38717,47.10608
"Gadus morhua",2012,-62.47509,45.81409
"Gadus morhua",2012,-63.84817,47.11
"Gadus morhua",2014,-60.71025,47.18625
"Gadus morhua",2014,-60.563,47.61917
"Gadus morhua",2012,-63.2525,47.88942
"Gadus morhua",2014,-60.84375,46.99142
"Gadus morhua",2013,-63.7635,48.39659
"Gadus morhua",2013,-62.02667,46.86458
"Gadus morhua",2010,-61.41375,46.98584
"Gadus morhua",2010,-62.33292,47.63125
"Gadus morhua",2010,-62.09617,47.484
"Gadus morhua",2012,-64.61484,47.11125
"Gadus morhua",2012,-64.19225,47.80992
"Gadus morhua",2014,-63.95442,47.44
"Gadus morhua",2013,-63.67617,47.34175
"Gadus morhua",2010,-61.332,46.913
"Gadus morhua",2010,-63.16767,47.54242
"Gadus morhua",2012,-65.71333,47.93417
"Gadus morhua",2013,-61.8805,46.50825
"Gadus morhua",2012,-63.05109,48.327
"Gadus morhua",2012,-64.17184,47.076
"Gadus morhua",2011,-64.6435,48.1485
"Gadus morhua",2011,-63.57275,46.671
"Gadus morhua",2012,-63.12542,47.14933
"Gadus morhua",2012,-61.66633,46.614
"Gadus morhua",2010,-61.76317,46.7765
"Gadus morhua",2010,-62.19517,46.77642
"Gadus morhua",2012,-63.90659,47.06209
"Gadus morhua",2014,-63.50167,46.77142
"Gadus morhua",2010,-62.82067,47.31467
"Gadus morhua",2010,-62.67667,45.9005
"Gadus morhua",2014,-63.39925,47.35225
"Gadus morhua",2013,-64.588,47.47534
"Gadus morhua",2013,-63.2025,46.59333
"Gadus morhua",2010,-64.373,48.30708
"Gadus morhua",2010,-61.90392,46.31792
"Gadus morhua",2011,-61.25859,47.2885
"Gadus morhua",2011,-63.8705,46.89608
"Gadus morhua",2011,-62.7635,46.98692
"Gadus morhua",2010,-64.12033,47.09075
"Gadus morhua",2010,-62.49142,46.683
"Gadus morhua",2010,-65.134,47.983
"Gadus morhua",2010,-61.44842,46.69509
"Gadus morhua",2012,-64.40817,47.52475
"Gadus morhua",2012,-63.23667,47.587
"Gadus morhua",2011,-64.39009,47.71309
"Gadus morhua",2010,-60.36459,47.37942
"Gadus morhua",2010,-60.55859,47.217
"Gadus morhua",2010,-63.68784,46.82109
"Gadus morhua",2011,-63.81875,48.41683
"Gadus morhua",2013,-62.97142,48.4475
"Gadus morhua",2010,-63.49334,48.18417
"Gadus morhua",2010,-61.88209,47.9805
"Gadus morhua",2010,-63.20009,48.72308
"Gadus morhua",2012,-61.96725,47.60867
"Gadus morhua",2012,-61.62025,48.06983
